r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,10,30,119,0,1,1,9,40002,912010,101,18,5,1,0,2,219,4,1,301,1,8,2,5,2010,9,1,2,2, , , ,1, , , , , , , , ,1,2,3080,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,30,119,0,1,1,9,40002,912010,101,18,5,1,0,2,219,5,1,301,1,5,5,11,2013,9,2,1,2, , , ,1, , , , , , , , ,1,2,3080,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,10,30,119,0,1,1,9,40002,912010,101,18,5,1,0,2,219,6,1,301,1,2,12,1,2017,9, , , , , , , , , , , , , , , ,1,2,3080,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,12,1,1,0,2,219,2,1,403,1,44,10,8,1974,9,1,2,6, , , ,2, ,6, , , , , , ,1,2,3080,745,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,2,2,4,6,11,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,12,1,1,0,2,219,3,1,403,2,49,21,11,1969,9,1,6,3,2712,2,1,2,1,6, , , , , , ,1,2,3080,745,1,1,1,1,1,4,1,7,8,6,3,4,3,9,5,2,6,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,3,3,4,7,12,2,3,12,72,0,0,0,0,0,1,0,0,16,1,2,2,0,3,2,7
0,1,6,20,118,0,1,1,9,40003,906058,101,12,1,1,0,2,219,4,1,413,2,23,7,6,1995,9,1,7,1,5342,3,2,1,1,6, , , , , , ,1,2,3080,745,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,1,2,2,7,2,7,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,12,1,1,0,2,219,5,1,409,2,3,2,3,2016,9, , , , , , , , , , , , , , , ,1,2,3080,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,54,2,1,0,2,219,2,1,301,2,58,1,11,1960,9,1,7,4,5335,3,1,2,0,6, , , , , , ,1,2,3080,745,1,1,1,3,2,3,6,7,8,2,1,4,3,5,5,2,3,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,4,3,5,9,14,1,3,16,70,0,0,0,0,1,4,0,0,7,1,2,2,0,3,8,4
0,1,6,20,118,0,1,1,9,40003,906058,101,54,2,1,0,2,219,3,1,301,2,55,29,9,1963,9,1,7,4,5513,3,1,2,0,6, , , , , , ,1,2,3080,745,1,1,1,4,2,3,6,6,8,2,1,4,3,5,5,2,3,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,4,3,5,9,14,1,3,16,70,0,0,0,0,0,4,0,0,7,1,1,2,0,3,9,4
0,1,6,20,118,0,1,1,9,40003,906058,101,54,2,1,0,2,219,4,1,409,1,25,24,2,1994,9,1,7,2,5517,3,2,1, ,6, , , , , , ,1,2,3080,745,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,4,2,2,3,8,0,7,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,54,2,1,0,2,219,5,1,301,2,51,13,3,1968,9,1,7,2,5312,3,2,2,1,2, , , , , , ,1,2,3080,745,1,1,1,4,2,3,6,6,8,2,1,4,3,5,5,2,3,1,2,0,2,0,0,0,1,2,0,0,0,0,0,0,0,4,3,5,8,13,2,3,14,70,0,0,0,0,0,4,0,0,7,1,1,2,0,3,9,4
0,1,6,20,118,0,1,1,9,40003,906058,101,54,2,1,0,2,219,6,1,409,2,19,29,12,1999,9,1,4,2, , , ,1,0,6, , , , , , ,1,2,3080,745,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,1,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,96,3,1,0,2,219,1,1,101,1,61,29,3,1958,9,1,7,2,5510,3,2,2, ,1, , , , , , ,1,2,3080,745,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,4,3,6,10,15,0,3,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,6,20,118,0,1,1,9,40003,906058,101,96,3,1,0,2,219,2,1,201,2,55,14,7,1963,9,1,3,3, , , ,2,2,1, , , , , , ,1,2,3080,745,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,3,3,5,9,14,2,3,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
